Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001357,Male,,,Graduate,No,3000-<=4000,160,360,1,Urban,1
LP001367,Male,Yes,1,Graduate,No,3000-<=4000,100,360,1,Urban,1
LP001369,Male,Yes,2,Graduate,No,10000-<=20000,225,360,1,Urban,1
LP001370,Male,No,0,Not Graduate,,6000-<=8000,120,360,1,Rural,0
LP001379,Male,Yes,2,Graduate,No,3000-<=4000,216,360,0,Urban,0
LP001384,Male,Yes,3,Not Graduate,No,2000-<=3000,94,480,1,Semiurban,1
LP001385,Male,No,0,Graduate,No,4000-<=6000,136,360,1,Urban,1
LP001387,Female,Yes,0,Graduate,,2000-<=3000,139,360,1,Semiurban,1
LP001391,Male,Yes,0,Not Graduate,No,3000-<=4000,152,,0,Rural,0
LP001392,Female,No,1,Graduate,Yes,6000-<=8000,,360,1,Semiurban,1
LP001398,Male,No,0,Graduate,,4000-<=6000,118,360,1,Semiurban,1
LP001401,Male,Yes,1,Graduate,No,10000-<=20000,185,180,1,Rural,1
LP001404,Female,Yes,0,Graduate,No,3000-<=4000,154,360,1,Semiurban,1
LP001405,Male,Yes,1,Graduate,No,2000-<=3000,85,360,,Urban,1
LP001421,Male,Yes,0,Graduate,No,4000-<=6000,175,360,1,Rural,0
LP001422,Female,No,0,Graduate,No,10000-<=20000,259,360,1,Urban,1
LP001426,Male,Yes,,Graduate,No,4000-<=6000,180,360,1,Rural,1
LP001430,Female,No,0,Graduate,No,4000-<=6000,44,360,1,Semiurban,1
LP001431,Female,No,0,Graduate,No,2000-<=3000,137,360,0,Semiurban,1
LP001432,Male,Yes,2,Graduate,No,2000-<=3000,81,360,1,Semiurban,1
LP001439,Male,Yes,0,Not Graduate,No,4000-<=6000,194,360,1,Rural,1
LP001443,Female,No,0,Graduate,No,3000-<=4000,93,360,,Rural,1
LP001448,,Yes,3,Graduate,No,20000-<=100000,370,360,1,Rural,1
LP001449,Male,No,0,Graduate,No,3000-<=4000,,360,1,Rural,1
LP001451,Male,Yes,1,Graduate,Yes,10000-<=20000,160,180,0,Urban,0
LP001465,Male,Yes,0,Graduate,No,6000-<=8000,182,360,,Rural,0
LP001469,Male,No,0,Graduate,Yes,20000-<=100000,650,480,,Urban,1
LP001473,Male,No,0,Graduate,No,2000-<=3000,74,360,1,Urban,1
LP001478,Male,No,0,Graduate,No,2000-<=3000,70,360,1,Semiurban,1
LP001482,Male,Yes,0,Graduate,Yes,3000-<=4000,25,120,1,Semiurban,1
LP001487,Male,No,0,Graduate,No,4000-<=6000,102,360,1,Semiurban,1
LP001488,Male,Yes,3,Graduate,No,3000-<=4000,290,360,1,Semiurban,0
LP001489,Female,Yes,0,Graduate,No,4000-<=6000,84,360,1,Rural,0
LP001491,Male,Yes,2,Graduate,Yes,3000-<=4000,88,360,1,Urban,1
LP001492,Male,No,0,Graduate,No,10000-<=20000,242,360,0,Semiurban,0
LP001493,Male,Yes,2,Not Graduate,No,4000-<=6000,129,360,1,Rural,0
LP001497,Male,Yes,2,Graduate,No,4000-<=6000,185,360,1,Rural,0
LP001498,Male,No,0,Graduate,No,4000-<=6000,168,360,1,Urban,1
LP001504,Male,No,0,Graduate,Yes,6000-<=8000,175,180,1,Semiurban,1
LP001507,Male,Yes,0,Graduate,No,2000-<=3000,122,360,1,Semiurban,1
LP001508,Male,Yes,2,Graduate,No,10000-<=20000,187,180,1,Urban,1
LP001514,Female,Yes,0,Graduate,No,2000-<=3000,100,360,1,Semiurban,1
LP001516,Female,Yes,2,Graduate,No,10000-<=20000,70,360,1,Urban,1
LP001518,Male,Yes,1,Graduate,No,1000-<=2000,30,360,1,Urban,1
LP001519,Female,No,0,Graduate,No,8000-<=10000,225,360,1,Rural,0
LP001520,Male,Yes,0,Graduate,No,4000-<=6000,125,360,1,Semiurban,1
LP001528,Male,No,0,Graduate,No,6000-<=8000,118,360,0,Rural,0
LP001529,Male,Yes,0,Graduate,Yes,2000-<=3000,152,360,1,Rural,1
LP001531,Male,No,0,Graduate,No,8000-<=10000,244,360,1,Urban,0
LP001532,Male,Yes,2,Not Graduate,No,2000-<=3000,113,360,1,Rural,0
LP001535,Male,No,0,Graduate,No,3000-<=4000,50,360,1,Urban,1
LP001536,Male,Yes,3,Graduate,No,20000-<=100000,600,180,0,Semiurban,1
LP001541,Male,Yes,1,Graduate,No,4000-<=6000,160,360,,Rural,1
LP001543,Male,Yes,1,Graduate,No,8000-<=10000,187,360,1,Urban,1
LP001546,Male,No,0,Graduate,,2000-<=3000,120,360,1,Rural,1
LP001552,Male,Yes,0,Graduate,No,4000-<=6000,255,360,1,Semiurban,1
LP001560,Male,Yes,0,Not Graduate,No,1000-<=2000,98,360,1,Semiurban,1
LP001562,Male,Yes,0,Graduate,No,6000-<=8000,275,360,1,Urban,0
LP001565,Male,Yes,1,Graduate,No,3000-<=4000,121,360,0,Semiurban,0
LP001570,Male,Yes,2,Graduate,No,4000-<=6000,158,360,1,Rural,1
LP001572,Male,Yes,0,Graduate,No,8000-<=10000,75,180,1,Urban,1
LP001574,Male,Yes,0,Graduate,No,3000-<=4000,182,,1,Rural,1
LP001577,Female,Yes,0,Graduate,No,4000-<=6000,112,360,1,Rural,0
LP001578,Male,Yes,0,Graduate,No,2000-<=3000,129,360,1,Rural,1
LP001579,Male,No,0,Graduate,No,2000-<=3000,63,480,0,Semiurban,0
LP001580,Male,Yes,2,Graduate,No,6000-<=8000,200,360,1,Semiurban,1
LP001581,Male,Yes,0,Not Graduate,,1000-<=2000,95,360,1,Rural,1
LP001585,,Yes,3,Graduate,No,20000-<=100000,700,300,1,Urban,1
LP001586,Male,Yes,3,Not Graduate,No,3000-<=4000,81,180,1,Rural,0
LP001594,Male,Yes,0,Graduate,No,4000-<=6000,187,360,1,Semiurban,1
LP001603,Male,Yes,0,Not Graduate,Yes,4000-<=6000,87,360,1,Semiurban,0
LP001606,Male,Yes,0,Graduate,No,3000-<=4000,116,360,1,Rural,1
LP001608,Male,Yes,2,Graduate,No,2000-<=3000,101,360,1,Rural,1
LP001610,Male,Yes,3,Graduate,No,4000-<=6000,495,360,0,Semiurban,0
LP001616,Male,Yes,1,Graduate,No,3000-<=4000,116,360,1,Semiurban,1
LP001630,Male,No,0,Not Graduate,No,2000-<=3000,102,480,0,Urban,0
LP001633,Male,Yes,1,Graduate,No,6000-<=8000,180,360,0,Urban,0
LP001634,Male,No,0,Graduate,No,1000-<=2000,67,360,,Rural,0
LP001636,Male,Yes,0,Graduate,No,4000-<=6000,73,180,1,Semiurban,1
LP001637,Male,Yes,1,Graduate,No,20000-<=100000,260,360,1,Semiurban,0
LP001639,Female,Yes,0,Graduate,No,3000-<=4000,108,360,1,Semiurban,1
LP001640,Male,Yes,0,Graduate,Yes,20000-<=100000,120,360,1,Semiurban,1
LP001641,Male,Yes,1,Graduate,Yes,2000-<=3000,66,300,0,Rural,0
LP001643,Male,Yes,0,Graduate,No,2000-<=3000,58,360,,Rural,1
LP001644,,Yes,0,Graduate,Yes,0-<=1000,168,360,1,Rural,1
LP001647,Male,Yes,0,Graduate,No,8000-<=10000,188,180,1,Rural,1
LP001653,Male,No,0,Not Graduate,No,4000-<=6000,48,360,1,Rural,1
LP001656,Male,No,0,Graduate,No,10000-<=20000,164,360,1,Semiurban,0
LP001657,Male,Yes,0,Not Graduate,No,6000-<=8000,160,360,1,Urban,0
LP001658,Male,No,0,Graduate,No,3000-<=4000,76,360,1,Semiurban,1
LP001664,Male,No,0,Graduate,No,4000-<=6000,120,360,1,Rural,1
LP001665,Male,Yes,1,Graduate,No,3000-<=4000,170,360,1,Semiurban,0
LP001666,Male,No,0,Graduate,No,8000-<=10000,187,360,1,Rural,1
LP001669,Female,No,0,Not Graduate,No,1000-<=2000,120,,1,Urban,1
LP001671,Female,Yes,0,Graduate,No,3000-<=4000,113,360,,Semiurban,1
LP001673,Male,No,0,Graduate,Yes,10000-<=20000,83,360,1,Urban,0
LP001674,Male,Yes,1,Not Graduate,No,2000-<=3000,90,360,1,Semiurban,1
LP001677,Male,No,2,Graduate,No,4000-<=6000,166,360,0,Semiurban,1
LP001682,Male,Yes,3,Not Graduate,No,3000-<=4000,,180,1,Urban,0
LP001688,Male,Yes,1,Not Graduate,No,3000-<=4000,135,360,1,Urban,1
LP001691,Male,Yes,2,Not Graduate,No,3000-<=4000,124,360,1,Semiurban,1
LP001692,Female,No,0,Not Graduate,No,4000-<=6000,120,360,1,Semiurban,1
LP001693,Female,No,0,Graduate,No,3000-<=4000,80,360,1,Urban,1
LP001698,Male,No,0,Not Graduate,No,3000-<=4000,55,360,1,Rural,1
LP001699,Male,No,0,Graduate,No,2000-<=3000,59,360,1,Urban,1
LP001702,Male,No,0,Graduate,No,3000-<=4000,127,360,1,Semiurban,0
LP001708,Female,No,0,Graduate,No,8000-<=10000,214,360,1,Semiurban,0
LP001711,Male,Yes,3,Graduate,No,3000-<=4000,128,360,0,Semiurban,0
LP001713,Male,Yes,1,Graduate,Yes,6000-<=8000,240,360,1,Urban,1
LP001715,Male,Yes,3,Not Graduate,Yes,4000-<=6000,130,360,1,Rural,1
LP001716,Male,Yes,0,Graduate,No,3000-<=4000,137,360,1,Urban,1
LP001720,Male,Yes,3,Not Graduate,No,3000-<=4000,100,360,1,Semiurban,1
LP001722,Male,Yes,0,Graduate,No,0-<=1000,135,360,1,Rural,0
LP001726,Male,Yes,0,Graduate,No,3000-<=4000,131,360,1,Semiurban,1
LP001732,Male,Yes,2,Graduate,,4000-<=6000,72,360,0,Semiurban,0
LP001734,Female,Yes,2,Graduate,No,4000-<=6000,127,360,,Semiurban,1
LP001736,Male,Yes,0,Graduate,No,2000-<=3000,60,360,0,Urban,0
LP001743,Male,Yes,2,Graduate,No,4000-<=6000,116,360,1,Semiurban,1
LP001744,Male,No,0,Graduate,No,2000-<=3000,144,360,1,Semiurban,1
LP001749,Male,Yes,0,Graduate,No,6000-<=8000,175,,1,Semiurban,1
LP001750,Male,Yes,0,Graduate,No,6000-<=8000,128,360,1,Semiurban,1
LP001751,Male,Yes,0,Graduate,No,3000-<=4000,170,360,1,Rural,0
LP001754,Male,Yes,,Not Graduate,Yes,4000-<=6000,138,360,1,Urban,0
LP001758,Male,Yes,2,Graduate,No,6000-<=8000,210,360,1,Semiurban,1
LP001760,Male,,,Graduate,No,4000-<=6000,158,480,1,Semiurban,1
LP001761,Male,No,0,Graduate,Yes,6000-<=8000,200,360,1,Rural,1
LP001765,Male,Yes,1,Graduate,No,2000-<=3000,104,360,1,Semiurban,1
LP001768,Male,Yes,0,Graduate,,3000-<=4000,42,180,1,Rural,1
LP001770,Male,No,0,Not Graduate,No,3000-<=4000,120,,1,Rural,1
LP001776,Female,No,0,Graduate,No,8000-<=10000,280,360,1,Semiurban,1
LP001778,Male,Yes,1,Graduate,No,3000-<=4000,140,360,1,Semiurban,1
LP001784,Male,Yes,1,Graduate,No,4000-<=6000,170,360,1,Rural,1
LP001786,Male,Yes,0,Graduate,,4000-<=6000,255,360,,Urban,0
LP001788,Female,No,0,Graduate,Yes,3000-<=4000,122,360,,Urban,1
LP001790,Female,No,1,Graduate,No,3000-<=4000,112,360,1,Rural,1
LP001792,Male,Yes,1,Graduate,No,3000-<=4000,96,360,1,Semiurban,1
LP001798,Male,Yes,2,Graduate,No,4000-<=6000,120,360,1,Rural,1
LP001800,Male,Yes,1,Not Graduate,No,2000-<=3000,140,180,1,Urban,0
LP001806,Male,No,0,Graduate,No,2000-<=3000,155,60,1,Urban,1
LP001807,Male,Yes,2,Graduate,Yes,6000-<=8000,108,360,1,Rural,1
LP001811,Male,Yes,0,Not Graduate,No,3000-<=4000,123,360,1,Semiurban,1
LP001813,Male,No,0,Graduate,Yes,6000-<=8000,120,180,1,Urban,0
LP001814,Male,Yes,2,Graduate,No,8000-<=10000,112,360,1,Urban,1
LP001819,Male,Yes,1,Not Graduate,No,6000-<=8000,137,180,1,Urban,1
LP001824,Male,Yes,1,Graduate,No,2000-<=3000,123,480,1,Semiurban,1
LP001825,Male,Yes,0,Graduate,No,1000-<=2000,90,360,1,Urban,1
LP001835,Male,Yes,0,Not Graduate,No,1000-<=2000,201,360,0,Semiurban,0
LP001836,Female,No,2,Graduate,No,3000-<=4000,138,360,1,Urban,0
LP001841,Male,No,0,Not Graduate,Yes,2000-<=3000,104,360,1,Rural,1
LP001843,Male,Yes,1,Not Graduate,No,2000-<=3000,279,180,1,Semiurban,1
LP001844,Male,No,0,Graduate,Yes,10000-<=20000,192,360,0,Urban,0
LP001846,Female,No,3,Graduate,No,3000-<=4000,255,360,1,Rural,1
LP001849,Male,No,0,Not Graduate,No,6000-<=8000,115,360,0,Rural,0
LP001854,Male,Yes,3,Graduate,No,4000-<=6000,94,360,1,Urban,0
LP001859,Male,Yes,0,Graduate,No,10000-<=20000,304,360,1,Rural,0
LP001864,Male,Yes,3,Not Graduate,No,4000-<=6000,128,360,,Semiurban,0
LP001865,Male,Yes,1,Graduate,No,6000-<=8000,330,360,,Urban,1
LP001868,Male,No,0,Graduate,No,2000-<=3000,134,360,1,Semiurban,1
LP001870,Female,No,1,Graduate,No,3000-<=4000,155,36,1,Semiurban,0
LP001871,Female,No,0,Graduate,No,6000-<=8000,120,360,1,Rural,1
LP001872,Male,No,0,Graduate,Yes,4000-<=6000,128,360,1,Semiurban,1
LP001875,Male,No,0,Graduate,No,4000-<=6000,151,360,1,Rural,1
LP001877,Male,Yes,2,Graduate,No,4000-<=6000,150,360,1,Semiurban,1
LP001882,Male,Yes,3,Graduate,No,4000-<=6000,160,360,0,Urban,1
LP001883,Female,No,0,Graduate,,3000-<=4000,135,360,1,Rural,0
LP001884,Female,No,1,Graduate,No,2000-<=3000,90,360,1,Urban,1
LP001888,Female,No,0,Graduate,No,3000-<=4000,30,360,1,Urban,1
LP001891,Male,Yes,0,Graduate,No,10000-<=20000,136,360,1,Urban,1
LP001892,Male,No,0,Graduate,No,2000-<=3000,126,360,1,Rural,1
LP001894,Male,Yes,0,Graduate,No,2000-<=3000,150,360,1,Semiurban,1
LP001896,Male,Yes,2,Graduate,No,3000-<=4000,90,360,1,Semiurban,1
LP001900,Male,Yes,1,Graduate,No,2000-<=3000,115,360,1,Semiurban,1
LP001903,Male,Yes,0,Graduate,No,3000-<=4000,207,360,1,Semiurban,1
LP001904,Male,Yes,0,Graduate,No,3000-<=4000,80,360,1,Urban,1
LP001907,Male,Yes,0,Graduate,No,10000-<=20000,436,360,1,Semiurban,1
LP001908,Female,Yes,0,Not Graduate,No,4000-<=6000,124,360,,Rural,1
LP001910,Male,No,1,Not Graduate,Yes,4000-<=6000,158,360,0,Urban,0
LP001914,Male,Yes,0,Graduate,No,3000-<=4000,112,360,1,Semiurban,1
LP001915,Male,Yes,2,Graduate,No,2000-<=3000,78,180,1,Urban,1
LP001917,Female,No,0,Graduate,No,1000-<=2000,54,360,1,Urban,1
LP001922,Male,Yes,0,Graduate,No,20000-<=100000,,360,1,Rural,0
LP001924,Male,No,0,Graduate,No,3000-<=4000,89,360,1,Rural,1
LP001925,Female,No,0,Graduate,Yes,2000-<=3000,99,300,1,Semiurban,0
LP001926,Male,Yes,0,Graduate,No,3000-<=4000,120,360,1,Rural,1
LP001931,Female,No,0,Graduate,No,4000-<=6000,115,360,1,Semiurban,1
LP001935,Male,No,0,Graduate,No,8000-<=10000,187,360,1,Rural,1
LP001936,Male,Yes,0,Graduate,No,3000-<=4000,139,360,1,Rural,1
LP001938,Male,Yes,2,Graduate,No,4000-<=6000,127,360,0,Semiurban,0
LP001940,Male,Yes,2,Graduate,No,3000-<=4000,134,360,1,Urban,1
LP001945,Female,No,,Graduate,No,4000-<=6000,143,480,0,Urban,0
LP001947,Male,Yes,0,Graduate,No,2000-<=3000,172,360,1,Semiurban,1
LP001949,Male,Yes,3,Graduate,,4000-<=6000,110,360,1,Urban,1
LP001953,Male,Yes,1,Graduate,No,6000-<=8000,200,360,1,Semiurban,1
LP001954,Female,Yes,1,Graduate,No,4000-<=6000,135,360,1,Urban,1
LP001955,Female,No,0,Graduate,No,4000-<=6000,151,480,1,Rural,0
LP001963,Male,Yes,1,Graduate,No,2000-<=3000,113,360,1,Urban,0
LP001964,Male,Yes,0,Not Graduate,No,1000-<=2000,93,360,0,Urban,0
LP001972,Male,Yes,,Not Graduate,No,2000-<=3000,105,360,1,Semiurban,1
LP001974,Female,No,0,Graduate,No,4000-<=6000,132,360,1,Rural,1
LP001977,Male,Yes,1,Graduate,No,1000-<=2000,96,360,1,Urban,1
LP001978,Male,No,0,Graduate,No,3000-<=4000,140,360,1,Rural,1
LP001990,Male,No,0,Not Graduate,No,1000-<=2000,,360,1,Urban,0
LP001993,Female,No,0,Graduate,No,3000-<=4000,135,360,1,Rural,1
LP001994,Female,No,0,Graduate,No,2000-<=3000,104,360,0,Urban,0
LP001996,Male,No,0,Graduate,No,20000-<=100000,480,360,1,Rural,0
LP001998,Male,Yes,2,Not Graduate,No,6000-<=8000,185,360,,Rural,1
LP002002,Female,No,0,Graduate,No,2000-<=3000,84,360,1,Semiurban,1
LP002004,Male,No,0,Not Graduate,No,2000-<=3000,111,360,1,Semiurban,1
LP002006,Female,No,0,Graduate,No,2000-<=3000,56,360,1,Rural,1
LP002008,Male,Yes,2,Graduate,Yes,4000-<=6000,144,84,,Rural,1
LP002024,,Yes,0,Graduate,No,2000-<=3000,159,360,1,Rural,0
LP002031,Male,Yes,1,Not Graduate,No,3000-<=4000,111,180,1,Urban,1
LP002035,Male,Yes,2,Graduate,No,3000-<=4000,120,360,1,Semiurban,1
LP002036,Male,Yes,0,Graduate,No,2000-<=3000,88,360,,Urban,1
LP002043,Female,No,1,Graduate,No,3000-<=4000,112,360,,Semiurban,1
LP002050,Male,Yes,1,Graduate,Yes,8000-<=10000,155,360,1,Rural,0
LP002051,Male,Yes,0,Graduate,No,2000-<=3000,115,360,1,Semiurban,1
LP002053,Male,Yes,3,Graduate,No,4000-<=6000,124,360,1,Semiurban,1
LP002054,Male,Yes,2,Not Graduate,No,3000-<=4000,,360,1,Rural,1
LP002055,Female,No,0,Graduate,No,3000-<=4000,132,360,,Rural,1
LP002065,Male,Yes,3,Graduate,No,10000-<=20000,300,360,1,Rural,1
LP002067,Male,Yes,1,Graduate,Yes,8000-<=10000,376,360,0,Rural,0
LP002068,Male,No,0,Graduate,No,4000-<=6000,130,360,0,Rural,1
LP002082,Male,Yes,0,Graduate,Yes,4000-<=6000,184,360,1,Semiurban,1
LP002086,Female,Yes,0,Graduate,No,4000-<=6000,110,360,1,Urban,0
LP002087,Female,No,0,Graduate,No,2000-<=3000,67,360,1,Urban,1
LP002097,Male,No,1,Graduate,No,4000-<=6000,117,360,1,Urban,1
LP002098,Male,No,0,Graduate,No,2000-<=3000,98,360,1,Semiurban,1
LP002100,Male,No,,Graduate,No,2000-<=3000,71,360,1,Urban,1
LP002101,Male,Yes,0,Graduate,,20000-<=100000,490,180,1,Urban,1
